日期,星期,捐血地點,營業時間,優惠內容,圖片網址,g地址,lat,lon
2024-09-06,五,新北板橋車站北二門,09:30~16:30,送全聯禮券$300/$600,https://i.imgur.com/KIHoXBz.jpeg,220台灣新北市板橋區縣民大道二段7號板橋車站,25.01405,121.46381
2024-09-08,日,新北泰山文程廣場,09:00~16:30,送米、蛋、熱敷眼罩.衛生紙/加倍送#現場有免費血糖檢測、義剪、精油按摩活動,https://i.imgur.com/TiygrRQ.jpeg,243台灣新北市泰山區明志路二段194號文程廣場,25.0504126,121.4278975
2024-09-08,日,北市二二八公園,10:00~18:00,,,100台灣台北市中正區凱達格蘭大道3號二二八和平公園,25.0402983,121.5155445
2024-11-17,日,新北中和中安街圖書館旁,09:00~17:00,送牛排,https://i.imgur.com/UyHtda0.jpeg,235台灣新北市中和區中安街85號,25.0014294,121.5127029
2024-09-09,一,新北汐止派出所,09:30~16:30,送牛排、蛋、三合一充電線/加倍送,https://i.imgur.com/04gl848.jpeg,221台灣新北市汐止區大同路二段459號,25.0680178,121.6599477
2024-09-11,三,北市北醫第三醫療大樓,09:30~16:00,送眾多好禮(詳見圖)/加贈威秀電影票1張#每捐一袋250c.c.就捐300元做公益,https://imgur.com/zFhw5vz,110台灣台北市信義區吳興街252號,25.0270409,121.5631091
2024-09-17,二,新北中和鎮福宮,09:30~17:00,送泡麵鍋、衛生紙等好禮/加贈無線藍芽聲霸,https://i.imgur.com/dbIyt9M.jpeg,235台灣新北市中和區立人街24之4號,24.9942583,121.5187747
2024-09-20,五,桃園內壢家樂福,09:30~16:30,送家樂福禮券$300/$600,https://i.imgur.com/MeqyHSD.jpeg,320台灣桃園市中壢區中華路一段450號,24.9724254,121.2536774
2024-09-16,一,南投草屯太清宮,09:00~15:30,送電子健康秤/血糖機、廚房紙巾等好禮,https://i.imgur.com/scFITKT.jpeg,542台灣南投縣草屯鎮,23.9720369,120.6833291
2024-09-17,二,台中神岡大圳路35之1號,09:00~16:00,送美食鍋、米、蛋、口罩等/加倍送,https://i.imgur.com/u82oUqE.jpeg,429台灣台中市神岡區大圳路35號,24.2584093,120.6868557
2024-09-08,日,雲林北港鎮公所,09:00~16:00,送米、衛生紙、茶包/加倍送等好禮,https://i.imgur.com/GphBe2O.jpeg,651台灣雲林縣北港鎮北辰路1號,23.575885,120.3023536
2024-09-15,日,雲林西螺大橋下高灘地,09:00~16:00,送眾多生活好禮(詳見圖)/加倍送,https://i.imgur.com/qm7jOUl.jpeg,台灣西螺大橋,23.8136276,120.4611321
2024-09-22,日,台南中西區郡緯街和勝堂牌樓前,09:30~17:30,送全聯禮券$250/$600等好禮,https://i.imgur.com/6PTpD03.jpeg,700台灣台南市中西區國華街三段245巷62號,22.9994368,120.199124
2024-09-29,日,雲林虎尾圖書館,09:00~16:00,送全聯、米、醬油禮盒等，還有抽獎1次/2次#前百名加贈鴨肉羹,https://i.imgur.com/XCzh6ET.jpeg《長期活動》雲林捐血站捐血加贈瑜珈墊1份/2份；#生日當天，捐250加贈手工小沙發椅/捐500或分離術送大沙發椅,632台灣雲林縣虎尾鎮光明路68號,23.7066883,120.4464087
2024-10-06,日,雲林虎尾國小,08:30~16:00,送米、蛋、醬油禮盒等好禮/加倍送#現場有豐富公益活動,https://i.imgur.com/qDcpVnN.jpeg,632台灣雲林縣虎尾鎮明正路88號,23.7134647,120.4321899
2024-11-17,日,台南開山路延平郡王祠前,09:00~16:00,送全聯禮券$200/加倍送，皆有小書包,https://i.imgur.com/IJsc90x.jpeg,700台灣台南市中西區開山路152號,22.9873691,120.2082281
2024-09-07,六,高雄楠梓捐血中心,09:00~17:00,送全聯禮券$200/$400,https://i.imgur.com/6mU9HdA.jpeg,811台灣高雄市楠梓區高楠公路1837號,22.7291063,120.3206996
2024-10-20,日,高雄仁武鳳仁路100號,08:00~17:00,送7-11$200、背包等美食/加贈烤鴨或烤雞或7-11$200擇一(烤雞限量、烤鴨限400隻),https://i.imgur.com/64unzMY.jpeg,台灣高雄市,22.6272784,120.3014353
